Извлечение обложек - включено
В Индексе таблицы каталогов отсутсвует 'path'

[root@dsgate py]# ../speed
books   books_min
2841    223.9947

Error extract cover from file: 271403.fb2

Books added      :  2841
Books skipped    :  0
Books in archives:  2837
Archives scanned :  1
Archives skipped :  0
Time estimated: 0  hours,  12  minutes,  40  seconds.
         123559147 function calls (112906817 primitive calls) in 760.828 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    85/80    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:1596(_handle_fromlist)
       46    0.000    0.000    0.001    0.000 sre_parse.py:297(_escape)
        3    0.000    0.000    0.007    0.002 __init__.py:297(namedtuple)
       82    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:61(_r_long)
       71    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:108(_path_isfile)
       62    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        3    0.000    0.000    0.001    0.000 decimal.py:3888(__init__)
        1    0.000    0.000    0.015    0.015 sopdscfg.py:23(__init__)
        1    0.000    0.000    0.014    0.014 datetime.py:5(<module>)
        1    0.000    0.000    0.017    0.017 ssl.py:55(<module>)
     41/9    0.000    0.000    0.379    0.042 <frozen importlib._bootstrap>:1019(load_module)
       52    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
       37    0.000    0.000    0.000    0.000 sre_parse.py:74(opengroup)
        1    0.000    0.000    0.004    0.004 stringprep.py:6(<module>)
       79    0.000    0.000    0.004    0.000 codecs.py:620(__next__)
       28    0.000    0.000    0.000    0.000 configparser.py:1126(_unify_values)
       79    0.000    0.000    0.004    0.000 {built-in method next}
       82    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
     11/8    0.000    0.000    0.089    0.011 {built-in method __import__}
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:154(new_module)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(get_filename)
        1    0.000    0.000    0.000    0.000 functools.py:222(decorating_function)
        1    0.000    0.000    0.004    0.004 socket.py:45(<module>)
      133    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       15    0.000    0.000    0.107    0.007 <frozen importlib._bootstrap>:1126(load_module)
        1    0.000    0.000    0.000    0.000 decimal.py:547(Decimal)
       57    0.000    0.000    0.000    0.000 {built-in method utf_8_decode}
       41    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1041(path_stats)
       79    0.000    0.000    0.005    0.000 codecs.py:689(__next__)
      236    0.000    0.000    0.000    0.000 {built-in method release_lock}
        1    0.000    0.000    0.035    0.035 shutil.py:5(<module>)
        5    0.000    0.000    0.075    0.015 __init__.py:69(search_function)
       28    0.000    0.000    0.000    0.000 __init__.py:784(__getitem__)
       56    0.000    0.000    0.036    0.001 <frozen importlib._bootstrap>:1305(find_module)
       16    0.000    0.000    0.108    0.007 <frozen importlib._bootstrap>:496(set_package_wrapper)
     63/9    0.000    0.000    0.307    0.034 <frozen importlib._bootstrap>:305(_call_with_frames_removed)
     41/9    0.000    0.000    0.379    0.042 <frozen importlib._bootstrap>:997(load_module)
      151    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        5    0.000    0.000    0.000    0.000 {built-in method listdir}
        1    0.000    0.000    0.004    0.004 tarfile.py:29(<module>)
        7    0.000    0.000    0.000    0.000 __init__.py:42(normalize_encoding)
       20    0.000    0.000    0.031    0.002 sre_compile.py:474(_code)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:38(_relax_case)
        2    0.000    0.000    0.001    0.001 gettext.py:353(find)
       25    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.167    0.167 connection.py:25(<module>)
        1    0.000    0.000    0.057    0.057 zipf.py:5(<module>)
      169    0.000    0.000    0.000    0.000 {built-in method acquire_lock}
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:700(find_module)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1144(is_package)
        1    0.000    0.000    0.000    0.000 errorcode.py:27(<module>)
      102    0.000    0.000    0.000    0.000 {built-in method setattr}
       28    0.000    0.000    0.000    0.000 configparser.py:402(_interpolate_some)
      117    0.000    0.000    0.000    0.000 {built-in method allocate_lock}
       57    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:643(find_module)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1013(__init__)
    38/12    0.000    0.000    0.003    0.000 {built-in method issubclass}
       31    0.000    0.000    0.000    0.000 _weakrefset.py:79(add)
       40    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
      135    0.000    0.000    0.000    0.000 {built-in method get_ident}
       20    0.000    0.000    0.000    0.000 sre_parse.py:180(__init__)
       42    0.000    0.000    0.000    0.000 _weakrefset.py:68(__contains__)
       34    0.000    0.000    0.000    0.000 abc.py:478(__iter__)
       27    0.000    0.000    0.000    0.000 decimal.py:3949(__setattr__)
        6    0.000    0.000    0.012    0.002 sopdsdb.py:224(findcat)
       28    0.000    0.000    0.000    0.000 __init__.py:774(__init__)
       37    0.000    0.000    0.000    0.000 sre_parse.py:85(closegroup)
        6    0.000    0.000    0.000    0.000 optparse.py:611(_set_attrs)
        6    0.000    0.000    0.001    0.000 optparse.py:999(add_option)
        5    0.000    0.000    0.002    0.000 __init__.py:41(__init__)
       38    0.000    0.000    0.000    0.000 decimal.py:3913(<genexpr>)
       56    0.000    0.000    0.000    0.000 configparser.py:868(optionxform)
       78    0.000    0.000    0.000    0.000 configparser.py:1013(<dictcomp>)
        6    0.000    0.000    0.001    0.000 optparse.py:562(__init__)
        4    0.000    0.000    0.000    0.000 gettext.py:111(_expand_lang)
       30    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
       20    0.000    0.000    0.000    0.000 {built-in method compile}
      2/1    0.000    0.000    0.391    0.391 sopds-scan.py:158(processzip)
