
Books added      :  2837
Books skipped    :  0
Books in archives:  2837
Archives scanned :  1
Archives skipped :  0
Time estimated: 0  hours,  6  minutes,  9  seconds.
         10984503 function calls (10890734 primitive calls) in 369.415 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 hashlib.py:104(__get_openssl_constructor)
        9    0.000    0.000    0.000    0.000 os.py:671(__getitem__)
        2    0.000    0.000    0.000    0.000 threading.py:127(__init__)
        1    0.000    0.000    0.049    0.049 idna.py:3(<module>)
       20    0.000    0.000    0.113    0.006 re.py:212(compile)
        8    0.000    0.000    0.000    0.000 abc.py:397(get)
        1    0.000    0.000    0.008    0.008 constants.py:25(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method init_builtin}
        1    0.000    0.000    0.000    0.000 numbers.py:299(Integral)
       37    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1122(__init__)
        1    0.000    0.000    0.036    0.036 bz2.py:5(<module>)
       42    0.000    0.000    0.000    0.000 abc.py:8(abstractmethod)
