Извлечение обложек - отключено
В Индексе таблицы каталогов присутсвует 'path'


[root@dsgate py]# ../speed
books   books_min
2841    781.9266

Books added      :  2841
Books skipped    :  0
Books in archives:  2837
Archives scanned :  1
Archives skipped :  0
Time estimated: 0  hours,  3  minutes,  38  seconds.
         9935229 function calls (9841414 primitive calls) in 218.704 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       78    0.000    0.000    0.000    0.000 configparser.py:1013(<dictcomp>)
        6    0.000    0.000    0.001    0.000 optparse.py:562(__init__)
       56    0.000    0.000    0.000    0.000 configparser.py:868(optionxform)
        6    0.000    0.000    0.000    0.000 decimal.py:556(__new__)
       54    0.000    0.000    0.000    0.000 sre_parse.py:136(__setitem__)
       20    0.000    0.000    0.000    0.000 {built-in method compile}
       25    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.001    0.001 cp866.py:3(<module>)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1147(<genexpr>)
       38    0.000    0.000    0.000    0.000 {built-in method is_builtin}
        1    0.000    0.000    0.011    0.011 lzma.py:9(<module>)
       30    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
       56    0.000    0.000    0.000    0.000 {built-in method is_frozen}
        1    0.000    0.000    0.029    0.029 configparser.py:119(<module>)
       15    0.000    0.000    0.000    0.000 {built-in method any}
        2    0.000    0.000    0.160    0.080 __init__.py:26(<module>)
      127    0.000    0.000    0.000    0.000 {built-in method ord}
       37    0.000    0.000    0.000    0.000 sre_parse.py:85(closegroup)
       16    0.000    0.000    0.097    0.006 <frozen importlib._bootstrap>:509(set_loader_wrapper)
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
        1    0.000    0.000    0.005    0.005 errors.py:25(<module>)
       57    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:280(cb)
       40    0.000    0.000    0.000    0.000 sre_compile.py:471(isstring)
        1    0.000    0.000    0.073    0.073 conversion.py:25(<module>)
        6    0.000    0.000    0.000    0.000 decimal.py:3938(_set_signal_dict)
        1    0.000    0.000    0.004    0.004 base64.py:3(<module>)
        6    0.000    0.000    0.000    0.000 optparse.py:590(_set_opt_strings)
       41    0.000    0.000    0.000    0.000 {built-in method _fix_co_filename}
        1    0.000    0.000    0.061    0.061 network.py:25(<module>)
        4    0.000    0.000    0.000    0.000 locale.py:339(normalize)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1332(__init__)
       30    0.000    0.000    0.000    0.000 decimal.py:3920(<genexpr>)
       20    0.000    0.000    0.000    0.000 sre_parse.py:726(fix_flags)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1244(_path_hooks)
       84    0.000    0.000    0.000    0.000 {built-in method abs}
        1    0.000    0.000    0.000    0.000 connection.py:74(MySQLConnection)
      6/5    0.000    0.000    0.040    0.008 sopdsdb.py:238(addcattree)
       41    0.000    0.000    0.000    0.000 {built-in method getlower}
       20    0.000    0.000    0.000    0.000 sre_parse.py:69(__init__)
       45    0.000    0.000    0.000    0.000 {built-in method divmod}
        1    0.000    0.000    0.002    0.002 hashlib.py:63(<module>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1396(_fill_cache)
        1    0.000    0.000    0.000    0.000 connection.py:181(config)
        9    0.000    0.000    0.000    0.000 os.py:671(__getitem__)
       25    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.022    0.022 idna.py:3(<module>)
        1    0.000    0.000    0.009    0.009 cursor.py:25(<module>)
